id,date,district,locality,category,department,transcript,sentiment,sentiment_score,priority
154,2026-03-02,Ernakulam,Ward 7,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Ernakulam district, near Ward 7, can you tell me when the next scheduled maintenance shutdown is for Ward 7. Thank you, I just wanted some information.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.08,Low
155,2026-05-26,Alappuzha,New Bypass,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Alappuzha district, near New Bypass, internet speed in New Bypass has been extremely poor for 4 days despite multiple complaints. We have been waiting too long, kindly expedite this.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.57,High
156,2026-03-23,Palakkad,Ward 7,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Palakkad district, near Ward 7, the scholarship payment for Ward 7 students has been delayed for 3 days. It would help if this could be addressed soon.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.21,Medium
157,2025-01-02,Kannur,MG Road,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kannur district, near MG Road, the bus shelter near MG Road is damaged and offers no protection from rain. It would help if this could be addressed soon.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.02,Medium
158,2025-08-10,Alappuzha,Hospital Road,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Alappuzha district, near Hospital Road, waste collection has been irregular in Hospital Road for 4 days and the smell is unbearable. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.41,High
159,2025-01-30,Thrissur,Market Road,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Thrissur district. In Thrissur, near Market Road, The recent work done by the Electricity Board in Market Road has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.58,Low
160,2025-04-30,Thiruvananthapuram,Bus Stand area,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Thiruvananthapuram district, near Bus Stand area, the auto stand near Bus Stand area has overcharging issues that have continued for 2 days. Please get this resolved as soon as possible.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.68,High
161,2026-02-12,Ernakulam,Collectorate Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Ernakulam district, near Collectorate Road, the primary health centre in Collectorate Road has no doctor available and a patient is in critical condition. Please send someone immediately, this cannot wait any longer.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.82,Critical
162,2025-03-25,Wayanad,Railway Station Road,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Wayanad district, near Railway Station Road, our tank water tested positive for contamination and several people in Railway Station Road have fallen ill. People are at risk, please treat this as top priority.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.77,Critical
163,2026-04-26,Kannur,Beach Road,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kannur district, near Beach Road, there have been repeated chain snatching incidents reported near Beach Road. We have been waiting too long, kindly expedite this.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.56,High
164,2025-05-20,Kannur,MG Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Kannur district, near MG Road, drainage on the side of the MG Road road is broken and water pools on the street. Please look into this when possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.25,Medium
165,2026-01-08,Ernakulam,Civil Station Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Ernakulam district, near Civil Station Road, there is a dengue outbreak in Civil Station Road and the hospital says they are out of essential medicines. Please send someone immediately, this cannot wait any longer.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.98,Critical
166,2025-02-19,Palakkad,Ward 7,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Palakkad district, near Ward 7, people are dumping waste illegally near Ward 7 and it is attracting stray animals. Please get this resolved as soon as possible.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.43,High
167,2025-07-27,Palakkad,Bus Stand area,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Palakkad district, near Bus Stand area, internet speed in Bus Stand area has been extremely poor for 5 days despite multiple complaints. We have been waiting too long, kindly expedite this.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.66,High
168,2026-03-25,Kozhikode,Ward 12,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Kozhikode district, near Ward 12, the meter reading at our Ward 12 residence appears to be incorrect. Please look into this when possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.02,Medium
169,2025-09-24,Wayanad,School Lane,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Wayanad district, near School Lane, there is no streetlight and no road markings on the new stretch near School Lane, accidents are increasing. We have been waiting too long, kindly expedite this.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.53,High
170,2026-03-10,Alappuzha,Industrial Estate,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Alappuzha district, near Industrial Estate, the broadband bill for Industrial Estate connection shows incorrect charges. Please look into this when possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.0,Medium
171,2025-10-20,Idukki,MG Road,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Idukki district, near MG Road, water supply timing has shifted without any notice and it is inconvenient for working families. It would help if this could be addressed soon.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.05,Medium
172,2026-06-14,Thiruvananthapuram,Railway Station Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Thiruvananthapuram district, near Railway Station Road, there is a dengue outbreak in Railway Station Road and the hospital says they are out of essential medicines. People are at risk, please treat this as top priority.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.94,Critical
173,2026-04-28,Wayanad,Civil Station Road,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Wayanad district, near Civil Station Road, the auto stand near Civil Station Road has overcharging issues that have continued for 4 days. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.58,High
174,2026-05-04,Kottayam,New Bypass,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Kottayam district, near New Bypass, the water pressure in New Bypass has dropped so badly that upper floors get nothing. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.75,High
175,2025-07-19,Kottayam,New Bypass,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Kottayam district, near New Bypass, the bus shelter near New Bypass is damaged and offers no protection from rain. Kindly forward this to the concerned department.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.17,Medium
176,2025-09-30,Kozhikode,Railway Station Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Kozhikode district, near Railway Station Road, drainage on the side of the Railway Station Road road is broken and water pools on the street. Please look into this when possible.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,-0.19,Medium
177,2025-10-12,Thiruvananthapuram,Civil Station Road,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Thiruvananthapuram district, near Civil Station Road, we have been getting muddy, discoloured water from the tap for 2 days. We have been waiting too long, kindly expedite this.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.57,High
178,2025-12-25,Alappuzha,Beach Road,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Alappuzha district, near Beach Road, can you tell me the schedule for the upcoming parent teacher meeting. Thank you, I just wanted some information.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.35,Low
179,2025-03-17,Wayanad,Civil Station Road,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Wayanad district, near Civil Station Road, the public WiFi hotspot at Civil Station Road has not worked in 7 days. Please get this resolved as soon as possible.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.6,High
180,2026-01-05,Alappuzha,MG Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Alappuzha district, near MG Road, a massive pothole on MG Road caused a bike accident yesterday and someone was injured. Please send someone immediately, this cannot wait any longer.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.84,Critical
181,2026-05-20,Thiruvananthapuram,Temple Junction,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Thiruvananthapuram district, near Temple Junction, I wanted to suggest adding a speed bump near the school on Temple Junction. That's all, thanks for your help.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,0.2,Low
182,2026-02-12,Palakkad,Market Road,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Palakkad district, near Market Road, people are dumping waste illegally near Market Road and it is attracting stray animals. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.72,High
183,2025-09-30,Thiruvananthapuram,Railway Station Road,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Thiruvananthapuram district, near Railway Station Road, can you tell me about the government Akshaya centre services available near Railway Station Road. That's all, thanks for your help.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.28,Low
184,2025-08-02,Kottayam,Civil Station Road,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Kottayam district. In Kottayam, near Civil Station Road, The recent work done by the IT & Telecom Department in Civil Station Road has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.55,Low
185,2026-02-14,Wayanad,New Bypass,Public Safety,Police Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Wayanad district, near New Bypass, I wanted to know the process to file a noise complaint for New Bypass. Thank you, I just wanted some information.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.18,Low
186,2025-08-21,Idukki,Ward 7,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Idukki district, near Ward 7, the water pressure in Ward 7 has dropped so badly that upper floors get nothing. Please get this resolved as soon as possible.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.54,High
187,2025-04-22,Kozhikode,Ward 12,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Kozhikode district, near Ward 12, drainage on the side of the Ward 12 road is broken and water pools on the street. Please look into this when possible.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.22,Medium
188,2026-01-29,Kozhikode,Bus Stand area,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kozhikode district, near Bus Stand area, the government hospital in Bus Stand area has been short staffed for 9 days and patients are waiting for hours. We have been waiting too long, kindly expedite this.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.67,High
189,2025-11-29,Idukki,School Lane,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Idukki district, near School Lane, we are facing intermittent internet outages in School Lane every evening. Kindly forward this to the concerned department.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.03,Medium
190,2025-02-27,Alappuzha,New Bypass,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Alappuzha district, near New Bypass, I want to know the schedule for the door to door waste collection. That's all, thanks for your help.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.17,Low
191,2026-05-07,Alappuzha,Beach Road,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Alappuzha district, near Beach Road, can you tell me the working hours of the Beach Road village office. Okay, thank you for clarifying.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.24,Low
192,2025-02-18,Wayanad,Ward 7,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Wayanad district, near Ward 7, the road in Ward 7 has been full of potholes for 8 days and vehicles keep getting damaged. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.64,High
193,2025-02-22,Alappuzha,Hospital Road,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Alappuzha district, near Hospital Road, the government hospital in Hospital Road has been short staffed for 7 days and patients are waiting for hours. This is causing a lot of difficulty for residents, please prioritise it.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.65,High
194,2025-08-17,Thiruvananthapuram,New Bypass,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I am calling regarding an issue in my area. In Thiruvananthapuram district, near New Bypass, can you tell me the schedule for the upcoming parent teacher meeting. Okay, thank you for clarifying.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,0.16,Low
195,2026-05-31,Thiruvananthapuram,Temple Junction,Electricity,Electricity Board,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Thiruvananthapuram district, near Temple Junction, our electricity bill this month seems unusually high and I want it checked. Kindly forward this to the concerned department.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.01,Medium
196,2025-03-18,Thiruvananthapuram,Beach Road,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Thiruvananthapuram district, near Beach Road, there was an error in my land record at the Beach Road revenue office that is blocking a property sale. Please get this resolved as soon as possible.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.68,High
197,2025-09-03,Thrissur,Panchayat Office area,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Thrissur district, near Panchayat Office area, garbage has not been collected in Panchayat Office area for 9 days and it has become a health hazard with rats everywhere. People are at risk, please treat this as top priority.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Negative,-0.88,Critical
198,2026-03-02,Ernakulam,Temple Junction,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Ernakulam district. In Ernakulam, near Temple Junction, The recent work done by the Transport Department in Temple Junction has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.54,Low
199,2025-03-27,Kozhikode,MG Road,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Kozhikode district, near MG Road, a fire broke out at the open waste dumping site near MG Road and smoke is spreading into homes. Please send someone immediately, this cannot wait any longer.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Negative,-0.84,Critical
200,2025-05-26,Kozhikode,MG Road,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Kozhikode district. In Kozhikode, near MG Road, I just wanted to thank the Water Authority team, the issue in MG Road was resolved very quickly.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.8,Low
201,2026-01-30,Idukki,School Lane,Transport,Transport Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Idukki district, near School Lane, the bus shelter near School Lane is damaged and offers no protection from rain. It would help if this could be addressed soon.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Neutral,-0.0,Medium
202,2025-06-16,Palakkad,Hospital Road,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Palakkad district, near Hospital Road, the road resurfacing work near Hospital Road has been incomplete for a while now. It would help if this could be addressed soon.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,-0.13,Medium
203,2026-03-11,Thrissur,Industrial Estate,Waste Management,Municipal Corporation,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Thrissur district, near Industrial Estate, waste collection has been irregular in Industrial Estate for 4 days and the smell is unbearable. We have been waiting too long, kindly expedite this.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Negative,-0.47,High
204,2026-04-23,Kottayam,New Bypass,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, I have been trying to reach someone about this for a while. In Kottayam district, near New Bypass, there is a minor leak near the New Bypass junction that is wasting a lot of water. It would help if this could be addressed soon.
Support Executive: Noted. I will escalate this to the concerned department.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.01,Medium
205,2025-02-10,Alappuzha,Bus Stand area,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Alappuzha district. In Alappuzha, near Bus Stand area, The recent work done by the IT & Telecom Department in Bus Stand area has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.52,Low
206,2026-02-09,Palakkad,New Bypass,Internet Services,IT & Telecom Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Palakkad district, near New Bypass, we are facing intermittent internet outages in New Bypass every evening. It would help if this could be addressed soon.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you, have a good day. We will update you on the progress.",Neutral,-0.2,Medium
207,2025-05-24,Idukki,Market Road,Water Supply,Water Authority,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Idukki district. In Idukki, near Market Road, The recent work done by the Water Authority in Market Road has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.54,Low
208,2025-11-17,Alappuzha,Ward 12,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hello, calling from Alappuzha district. In Alappuzha, near Ward 12, The recent work done by the Health Department in Ward 12 has been excellent, well done.
Support Executive: That's wonderful to hear, thank you for the feedback, I will pass it on to the team.
Citizen: No problem, keep up the good work.
Support Executive: Thank you, have a great day!",Positive,0.68,Low
209,2025-12-31,Ernakulam,Bus Stand area,Government Documentation,Revenue Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good morning, I would like to report a problem. In Ernakulam district, near Bus Stand area, there was an error in my land record at the Bus Stand area revenue office that is blocking a property sale. We have been waiting too long, kindly expedite this.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: We have logged your request and someone will get back to you soon.",Negative,-0.58,High
210,2026-04-22,Kozhikode,Panchayat Office area,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Kozhikode district, near Panchayat Office area, the scholarship payment for Panchayat Office area students has been delayed for 9 days. Please look into this when possible.
Support Executive: I'm sorry to hear that, let me log this right away.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.14,Medium
211,2026-03-25,Ernakulam,Temple Junction,Healthcare,Health Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Good afternoon, I want to bring an urgent issue to your notice. In Ernakulam district, near Temple Junction, the medicine stock at the Temple Junction dispensary seems to be running low. Please look into this when possible.
Support Executive: Thank you for bringing this to our attention, I am registering this complaint.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.08,Medium
212,2025-10-25,Wayanad,Panchayat Office area,Education,Education Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I'm calling on behalf of my neighbourhood. In Wayanad district, near Panchayat Office area, can you tell me the schedule for the upcoming parent teacher meeting. Okay, thank you for clarifying.
Support Executive: I see, this sounds serious. Let me record this immediately.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Thank you for calling, this has been forwarded to the relevant department.",Neutral,0.03,Low
213,2026-06-04,Wayanad,Temple Junction,Roads,Public Works Department,"Support Executive: Thank you for calling the citizen helpline, how can I help you today?
Citizen: Hi, I need to register a complaint. In Wayanad district, near Temple Junction, I wanted to suggest adding a speed bump near the school on Temple Junction. Okay, thank you for clarifying.
Support Executive: I understand your concern, let me note down the details.
Citizen: Yes, please make sure this is followed up on.
Support Executive: Your complaint has been registered with reference number generated. We will follow up shortly.",Neutral,0.31,Low
